date,infective,confirmed_total,deaths_total,recovered_total
2021-04-27,303,5,0,0
2021-04-28,311,13,0,0
2021-04-29,356,58,0,0
2021-04-30,374,76,0,0
2021-05-01,356,90,0,32
2021-05-02,375,110,0,33
2021-05-03,383,129,0,44
2021-05-04,398,144,0,44
2021-05-05,424,170,0,44
2021-05-06,492,238,0,44
2021-05-07,539,285,0,44
2021-05-08,590,378,0,86
2021-05-09,692,480,0,86
2021-05-10,821,609,0,86
2021-05-11,881,685,0,102
2021-05-12,949,771,0,120
2021-05-13,1015,858,0,141
2021-05-14,1121,964,0,141
2021-05-15,1278,1133,1,152
2021-05-16,1468,1323,1,152
2021-05-17,1651,1507,2,152
2021-05-18,1785,1660,2,171
2021-05-19,1963,1838,2,171
2021-05-20,2080,1957,4,171
2021-05-21,2208,2089,6,173
2021-05-22,2321,2234,6,205
2021-05-23,2451,2365,7,205
2021-05-24,2563,2552,9,278
2021-05-25,3010,2999,9,278
2021-05-26,3185,3234,10,337
2021-05-27,3414,3464,11,337
2021-05-28,3624,3718,12,380
2021-05-29,3910,4004,12,380
2021-05-30,4107,4255,12,434
2021-05-31,4241,4469,12,514
2021-06-01,4478,4720,13,527
2021-06-02,4676,4961,14,569
2021-06-03,4926,5211,14,569
2021-06-04,4991,5435,16,726
2021-06-05,5175,5689,18,794
2021-06-06,5323,5895,18,852
2021-06-07,5418,6131,18,993
2021-06-08,5551,6306,20,1033
2021-06-09,5871,6713,20,1120
2021-06-10,6018,6932,20,1192
2021-06-11,6116,7128,22,1288
2021-06-12,6353,7389,23,1311
2021-06-13,6478,7686,24,1482
2021-06-14,6510,7958,26,1720
2021-06-15,6609,8360,26,2023
2021-06-16,6985,8783,26,2070
2021-06-17,7437,9298,26,2133
2021-06-18,7620,9562,27,2213
2021-06-19,7783,10048,29,2534
2021-06-20,7917,10359,31,2709
2021-06-21,7962,10631,34,2933
2021-06-22,8113,10875,34,3026
2021-06-23,8194,11095,35,3164
2021-06-24,8402,11380,37,3239
2021-06-25,9078,12248,39,3429
2021-06-26,9065,12423,39,3617
2021-06-27,9249,12791,41,3799
2021-06-28,9447,13189,41,3999
2021-06-29,9570,13561,45,4244
2021-06-30,9943,14011,46,4320
2021-07-01,10249,14724,46,4727
2021-07-02,10643,15269,49,4875
2021-07-03,11317,16191,49,5123
2021-07-04,12029,17081,51,5299
2021-07-05,12924,18183,55,5502
2021-07-06,13891,19212,62,5557
2021-07-07,14413,20219,67,6037
2021-07-08,15331,21533,70,6430
2021-07-09,16917,23158,75,6464
2021-07-10,18548,25011,77,6684
2021-07-11,20423,26964,84,6755
2021-07-12,22744,29347,90,6811
2021-07-13,24816,31648,97,7033
2021-07-14,27673,34582,103,7104
2021-07-15,30956,37998,172,7168
2021-07-16,33942,41334,190,7500
2021-07-17,37367,45051,190,7792
2021-07-18,42909,50977,219,8147
2021-07-19,46644,55172,299,8527
2021-07-20,51043,59967,299,8923
2021-07-21,55836,65324,335,9451
2021-07-22,60580,71518,335,10901
2021-07-23,65772,78825,335,13016
2021-07-24,72981,88081,335,15063
2021-07-25,78757,95612,335,16818
2021-07-26,84479,103494,489,18824
2021-07-27,90790,111407,489,20426
2021-07-28,92735,117969,595,24937
2021-07-29,95773,125563,828,29260
2021-07-30,100420,134212,1126,32964
2021-07-31,105649,142836,1271,36214
2021-08-01,109846,151456,1271,40637
2021-08-02,113104,158911,1660,44445
2021-08-03,117291,167340,2036,48311
2021-08-04,121157,174963,2292,51812
2021-08-05,124300,182207,2685,55520
2021-08-06,128036,190531,2981,59812
2021-08-07,131065,197865,2981,64117
2021-08-08,135514,207555,3362,68977
2021-08-09,140071,216895,3722,73400
2021-08-10,143645,225285,4110,77828
2021-08-11,147263,234051,4452,82634
2021-08-12,152613,243718,4778,86625
2021-08-13,157925,252898,5053,90218
2021-08-14,163045,262614,5402,94465
2021-08-15,166770,272194,5738,99984
2021-08-16,170581,280846,6106,104457
2021-08-17,175524,290451,6437,108788
2021-08-18,180131,299107,6735,112539
2021-08-19,185405,309761,7115,117539
2021-08-20,182916,320418,7505,130295
2021-08-21,189083,333857,7505,137567
2021-08-22,192118,345209,8242,145147
2021-08-23,195181,355606,8631,152092
2021-08-24,197981,366417,8979,159755
2021-08-25,202096,378513,9314,167401
2021-08-26,194786,390088,9632,185968
2021-08-27,201702,407516,10018,196094
2021-08-28,201078,419619,10370,208469
2021-08-29,204717,432415,10714,217282
2021-08-30,209612,446639,11029,226296
2021-08-31,212175,459246,11029,236340
2021-09-01,212944,470680,11832,246202
2021-09-02,215268,483877,12103,256804
2021-09-03,218538,498799,12411,268148
2021-09-04,215864,508320,12758,279996
2021-09-05,219509,521457,13039,289207
2021-09-06,221949,533938,13350,298937
2021-09-07,225588,548146,13666,309190
2021-09-08,223907,560826,14090,323127
2021-09-09,223459,573246,14435,335650
2021-09-10,223754,586567,14710,348401
2021-09-11,222872,598499,14983,360942
2021-09-12,223521,610525,15244,372058
2021-09-13,223112,621697,15625,383258
2021-09-14,220661,632205,15901,395941
2021-09-15,216807,642790,16151,410130
2021-09-16,216156,653279,16390,421031
2021-09-17,217551,664800,16602,430945
2021-09-18,211801,674173,16822,445848
2021-09-19,212471,684213,17055,454985
2021-09-20,214116,692894,17270,461806
2021-09-21,214551,704586,17510,472823
2021-09-22,213923,716113,17746,484742
2021-09-23,216933,725585,17982,490968
2021-09-24,212896,734122,18185,503339
2021-09-25,211832,743828,18365,513929
2021-09-26,210182,753839,18549,525406
2021-09-27,208842,763201,18723,535934
2021-09-28,195183,771207,18901,557421
2021-09-29,180211,779965,19063,580989
2021-09-30,162626,787905,19266,606311
2021-10-01,142197,794862,19402,633561
2021-10-02,118666,800352,19566,662418
2021-10-03,95069,805728,19680,691277
2021-10-04,72639,811111,19810,718960
2021-10-05,51295,815474,19944,744533
2021-10-06,45506,819837,20063,754566
2021-10-07,48129,823987,20188,755968
2021-10-08,51805,828771,20302,756962
2021-10-09,54894,833284,20407,758281
2021-10-10,36911,836812,20520,779679
2021-10-11,37866,840431,20635,782228
2021-10-12,39375,843380,20728,783575
2021-10-13,41539,846841,20834,784766
2021-10-14,44890,850992,20915,785485
2021-10-15,47676,854789,21008,786403
2021-10-16,49228,858010,21096,787984
2021-10-17,51018,861203,21159,789324
2021-10-18,52975,864371,21234,790460
2021-10-19,54068,867405,21309,792326
2021-10-20,55905,871051,21381,794063
2021-10-21,57929,874687,21452,795604
2021-10-22,56656,878672,21508,800806
2021-10-23,58614,882045,21585,802144
2021-10-24,61292,886090,21638,803458
2021-10-25,63543,889729,21703,804781
2021-10-26,64085,893324,21767,807770
